kind	id	verdict	detail
예측	H3a	채택	L_report 525 -> 270 (-48.6%)
예측	H3b	채택	pass 9.0 -> 9.0 (9 만점)
예측	H3c	채택	총출력 T 1456 -> 1203 (-17.4%)
예측	H4a	채택	L_diff 931 -> 874 (-6.2%) · 표준편차 B=31 S4=44
예측	H4b	판정 불가	extra 0.0 -> 0.0 — 기준 조건이 0이면 바닥 효과로 판정 불가(사전등록 §5)
예측	H4c	채택	pass 9.0 -> 9.0
예측	H5a	기각	주석 비율 0.0897 -> 0.0927 (절대 차 -0.0029, 기준 0.02) · 추가된 주석 문자 B=138 S5=138 (둘 다 원본 그대로 = 아무도 주석을 더하지 않았다)
예측	H5b	채택	pass 9.0 -> 9.0
예측	H7a	채택	개별 절감 합 540 (S3 253 + S4 184 + S5 104) vs 묶음 349 → 묶음이 합의 64.6%
예측	Q1-CN800	채택	상한 800자 준수 3/3 · 평균 641자
예측	Q1-CN300	채택	상한 300자 준수 3/3 · 평균 248자
예측	Q2	채택	간결성 지시 744 vs 300자 상한 248 (-66.7%)
예측	Q3	채택	cov(CN300) = 5.67 (6.0 미만이면 충족도 하락) ⚠ 손으로 확인한 결과 거짓 음성 — 본문 §5 참조
예측	Q4	산출	C0 2425 · CK 744 · CN800 641 · CN300 248 (판정 대상 아님)
가설	A5-H3	채택	H3a ∧ H3b ∧ H3c
가설	A5-H4	채택	H4a ∧ H4c (H4b는 바닥 효과로 판정 불가)
가설	A5-H5	기각	H5a ∧ H5b
가설	A5-H7	채택	H7a — 라운드 1 판정 불가를 대체
가설	A1-H3	채택	Q2 ∧ Q3 (사전등록대로. Q3의 계측 결함은 본문에 고지)
