kind	id	verdict	detail
예측	E1	채택	Δ1=1681 Δ2=292 Δ3=165 (단계별 상대 -69.3% -39.3% -36.6%)
예측	E2	채택	K1: %ΔL=-69.3 %ΔG=-62.6; K2: %ΔL=-81.4 %ΔG=-76.1; K3: %ΔL=-88.2 %ΔG=-83.3
예측	E3	채택	K0R=1904, 사전등록 구간 [1610, 3304]
예측	E4	채택	cov 평균 6.0 6.0 6.0 6.0
예측	M1	채택	L_report 489 -> 459 (-6.2%), 동률 ±5.0%
예측	M2	기각	ncd 0.832 -> 0.829
예측	M3	채택	pass 11.0 -> 11.0 (11 만점)
예측	M4	기각	L_report+L_diff 1166 -> 1143 (-2.0%), 동률 ±5.0%
예측	Y1	채택	SHT 629 -> SHF 391 (-37.8%)
예측	Y2	기각	SLT 625 -> SLF 567 (-9.3%) — 역전 예측은 SLF가 더 길다
예측	Y3	채택	acc SLF=1.000 SHF=1.000
예측	B1	채택	SLT 625 -> CB 247 (-60.5%)
예측	B2q	채택	acc CB=1.000
예측	B3	산출	R* = ceil(329 / 378) = 1 (판정 대상 아님)
가설	A6-H1	채택	E1 ∧ E2 (E3 전제 충족)
가설	A6-H2	기각	M1 ∧ M3 ∧ M4
가설	A6-H4	채택	Y1 ∧ Y3
가설	A6-H6	채택	B1 ∧ B2q
