trial	condition	file	bytes	sha256_12
t01	B	report.txt	755	d47d2e788601
t01	B	todo.js	1564	902a5fd5b090
t01	B	todo.test.js	2045	cb1f5d0c1932
t02	CN800	doc.txt	1288	1bcf3df3dadb
t02	CN800	report.txt	317	114b4ee191f9
t03	S3	report.txt	438	a147b67c61c3
t03	S3	todo.js	1564	c1781e293732
t03	S3	todo.test.js	2045	cb1f5d0c1932
t04	S4	report.txt	665	6f8c78ffb46e
t04	S4	todo.js	1460	4205901d6ed0
t04	S4	todo.test.js	2045	cb1f5d0c1932
t05	CN300	doc.txt	512	f9d3e0c7b8cc
t05	CN300	report.txt	264	120fc99fb274
t06	S5	report.txt	902	369ae22f3397
t06	S5	todo.js	1516	f9dcbf20259b
t06	S5	todo.test.js	2045	cb1f5d0c1932
t07	ALL	report.txt	380	21c4c6b62fbc
t07	ALL	todo.js	1476	9ac53392b936
t07	ALL	todo.test.js	2045	cb1f5d0c1932
t08	B	report.txt	673	4f4533b0ace4
t08	B	todo.js	1495	74287e522c4a
t08	B	todo.test.js	2045	cb1f5d0c1932
t09	S3	report.txt	421	73526e5b005f
t09	S3	todo.js	1564	c1781e293732
t09	S3	todo.test.js	2045	cb1f5d0c1932
t10	CN800	doc.txt	1340	987a1e0b371e
t10	CN800	report.txt	257	583b346eb9f8
t11	S4	report.txt	607	3b517d37384f
t11	S4	todo.js	1448	82897c40adc3
t11	S4	todo.test.js	2045	cb1f5d0c1932
t12	S5	report.txt	664	68208deb6870
t12	S5	todo.js	1480	b3784b11ed2e
t12	S5	todo.test.js	2045	cb1f5d0c1932
t13	ALL	report.txt	435	695c51556559
t13	ALL	todo.js	1462	2f3b12a2313f
t13	ALL	todo.test.js	2045	cb1f5d0c1932
t14	CN300	doc.txt	657	161e006edade
t14	CN300	report.txt	274	2366084a2b42
t15	B	report.txt	711	08e223e9b586
t15	B	todo.js	1556	e8cb49521460
t15	B	todo.test.js	2045	cb1f5d0c1932
t16	S3	report.txt	430	f289e00753d7
t16	S3	todo.js	1495	74287e522c4a
t16	S3	todo.test.js	2045	cb1f5d0c1932
t17	CN800	doc.txt	1329	a5fdd7ef0c71
t17	CN800	report.txt	395	64c16d72d1dd
t18	S4	report.txt	679	b830e3b885f7
t18	S4	todo.js	1545	7a30d18ced3d
t18	S4	todo.test.js	2045	cb1f5d0c1932
t19	S5	report.txt	739	67f9ed03e2e2
t19	S5	todo.js	1472	5ba3969aad00
t19	S5	todo.test.js	2045	cb1f5d0c1932
t20	ALL	report.txt	333	827ca39383b7
t20	ALL	todo.js	1450	961fae5efb29
t20	ALL	todo.test.js	2045	cb1f5d0c1932
t21	CN300	doc.txt	424	c3562449928c
t21	CN300	report.txt	403	8c10069a45c8
