trial	condition	file	bytes	sha256_12
t01	A30	out.yaml	510	fe23248172ab
t01	A30	prompt.txt	1454	10f92697a7c9
t02	B30	out.diff	644	e0aea1263528
t02	B30	prompt.txt	1521	d6e3b7d86c0f
t03	C30	out.diff	478	fd6993293d2b
t03	C30	prompt.txt	1601	b1b6da277bd2
t04	A120	out.yaml	2469	2b1de62c01f5
t04	A120	prompt.txt	3895	e3b91016ac0c
t05	B120	out.diff	823	d3a8dd60dc48
t05	B120	prompt.txt	3961	c5af75fecef8
t06	C120	out.diff	533	08daf8bfd74b
t06	C120	prompt.txt	4041	3acd14da317b
t07	C120	out.diff	533	08daf8bfd74b
t07	C120	prompt.txt	4041	3acd14da317b
t08	A30	out.yaml	510	fe23248172ab
t08	A30	prompt.txt	1454	10f92697a7c9
t09	B120	out.diff	823	d3a8dd60dc48
t09	B120	prompt.txt	3961	c5af75fecef8
t10	C30	out.diff	473	4ed1fcf0c03d
t10	C30	prompt.txt	1601	b1b6da277bd2
t11	A120	out.yaml	2469	2b1de62c01f5
t11	A120	prompt.txt	3895	e3b91016ac0c
t12	B30	out.diff	637	2ad497593e4d
t12	B30	prompt.txt	1521	d6e3b7d86c0f
