trial	condition	prompt	task
t01	T	r8-T.txt	T15
t02	K	r8-K.txt	T15
t03	R	r8-R.txt	T15
t04	T	r8-T.txt	T15
t05	K	r8-K.txt	T15
t06	R	r8-R.txt	T15
t07	UT	runs/r8/t07/prompt.txt	T15
t08	UK	runs/r8/t08/prompt.txt	T15
t09	UR	runs/r8/t09/prompt.txt	T15
t10	UT	runs/r8/t10/prompt.txt	T15
t11	UK	runs/r8/t11/prompt.txt	T15
t12	UR	runs/r8/t12/prompt.txt	T15
t13	CN150	r8-CN150.txt	T16
t14	CN80	r8-CN80.txt	T16
t15	CN150	r8-CN150.txt	T16
t16	CN80	r8-CN80.txt	T16
t17	CN150	r8-CN150.txt	T16
t18	CN80	r8-CN80.txt	T16
t19	WN	r7-WN.txt	T17
t20	WT	r7-WT.txt	T17
t21	WN	r7-WN.txt	T17
t22	WT	r7-WT.txt	T17
t23	WN	r7-WN.txt	T17
t24	WT	r7-WT.txt	T17
t25	DB	r8-DB.txt	T18
t26	DB	r8-DB.txt	T18
t27	DB	r8-DB.txt	T18
t28	DS	r8-DS.txt	T18
t29	DS	r8-DS.txt	T18
t30	DS	r8-DS.txt	T18
