trial	condition	file	bytes	sha256_12
t01	-	out.txt	475	9f601b1d80fb
t01	-	prompt.txt	2019	78a393397fd7
t01	-	report.txt	156	08ae00911077
t02	-	out.txt	448	0de9f507e301
t02	-	prompt.txt	2117	de7f6424dd03
t02	-	report.txt	225	27b24443da39
t03	-	out.txt	432	8b4a816bccd0
t03	-	prompt.txt	2006	95fc4983aa7b
t03	-	report.txt	158	aad43b57c80f
t04	-	out.txt	475	9f601b1d80fb
t04	-	prompt.txt	2019	78a393397fd7
t04	-	report.txt	186	dbfb3cffff41
t05	-	out.txt	448	69df6a76eb91
t05	-	prompt.txt	2117	de7f6424dd03
t05	-	report.txt	440	f74c6366c2f1
t06	-	out.txt	432	8b4a816bccd0
t06	-	prompt.txt	2006	95fc4983aa7b
t06	-	report.txt	142	819b1d7e4b1e
t07	-	ans.txt	79	fc5bbb9f2d78
t07	-	prompt.txt	1515	d16510f79757
t07	-	report.txt	119	a0f292ab98f0
t08	-	ans.txt	79	fc5bbb9f2d78
t08	-	prompt.txt	1488	dfafaf2d5faf
t08	-	report.txt	1257	7ee500e636ec
t09	-	ans.txt	73	86a3f1d64314
t09	-	prompt.txt	1599	2fe7fe84e11a
t09	-	report.txt	135	d9fea3a9a1d3
t10	-	ans.txt	79	fc5bbb9f2d78
t10	-	prompt.txt	1515	d16510f79757
t10	-	report.txt	155	51bc0c81811f
t11	-	ans.txt	79	fc5bbb9f2d78
t11	-	prompt.txt	1488	deea1d1265cb
t11	-	report.txt	540	fa5e540de7ed
t12	-	ans.txt	79	fc5bbb9f2d78
t12	-	prompt.txt	1599	2fe7fe84e11a
t12	-	report.txt	124	1d178cd09818
t13	-	doc.txt	240	c0f3f4193551
t13	-	prompt.txt	1055	a123de9b9c56
t13	-	report.txt	231	1ded22b7e7a6
t14	-	doc.txt	122	bd7b73b1bd80
t14	-	prompt.txt	1054	fbd4fd3bbe9d
t14	-	report.txt	235	eae8a14f2a91
t15	-	doc.txt	241	7445bcb051b4
t15	-	prompt.txt	1055	a123de9b9c56
t15	-	report.txt	242	91812d758fd1
t16	-	doc.txt	118	96c1b3a2b35e
t16	-	prompt.txt	1054	fbd4fd3bbe9d
t16	-	report.txt	111	0bde8207ae69
t17	-	doc.txt	214	7d6e6b808810
t17	-	prompt.txt	1055	a123de9b9c56
t17	-	report.txt	204	b923b0698c34
t18	-	doc.txt	109	b21fdf8707e2
t18	-	prompt.txt	1054	fbd4fd3bbe9d
t18	-	report.txt	378	d1ba857005c6
t19	-	doc.txt	8270	04110e9ba430
t19	-	prompt.txt	4830	c9e047523d13
t19	-	report.txt	771	9771671b5c32
t20	-	doc.txt	3215	da2b55bf331b
t20	-	prompt.txt	4948	1bb5a1fae325
t20	-	report.txt	300	3f787fc21265
t21	-	doc.txt	8716	332d542c12b1
t21	-	prompt.txt	4830	c9e047523d13
t21	-	report.txt	871	b94830bde944
t22	-	doc.txt	3173	4a5cdb1b99bf
t22	-	prompt.txt	4948	1bb5a1fae325
t22	-	report.txt	507	d7e9e96e2407
t23	-	doc.txt	12938	13fdb2f3dcfd
t23	-	prompt.txt	4830	c9e047523d13
t23	-	report.txt	886	dd7f9b3921fb
t24	-	doc.txt	2733	70dc922061fb
t24	-	prompt.txt	4948	1bb5a1fae325
t24	-	report.txt	236	e8ee9ba76724
t25	-	prompt.txt	775	e6de69b48d86
t25	-	report.txt	520	d28892e362ec
t25	-	sched.js	1632	ac48d431fffd
t25	-	sched.test.js	3554	c2bc3da23beb
t26	-	prompt.txt	775	e6de69b48d86
t26	-	report.txt	744	68d4e0e2db07
t26	-	sched.js	1628	19d40d356067
t26	-	sched.test.js	3554	c2bc3da23beb
t27	-	prompt.txt	775	e6de69b48d86
t27	-	report.txt	749	824c51857cbe
t27	-	sched.js	1571	e5b077b17d15
t27	-	sched.test.js	3554	c2bc3da23beb
t28	-	prompt.txt	852	0519149fac71
t28	-	report.txt	555	8c7e5bf2c8e4
t28	-	sched.js	1377	df12df0f2028
t28	-	sched.test.js	3554	c2bc3da23beb
t29	-	prompt.txt	852	0519149fac71
t29	-	report.txt	602	7a6c0363711b
t29	-	sched.js	1384	d72deea050a2
t29	-	sched.test.js	3554	c2bc3da23beb
t30	-	prompt.txt	852	0519149fac71
t30	-	report.txt	428	1fcce9c882e6
t30	-	sched.js	1419	dc27b3511b46
t30	-	sched.test.js	3554	c2bc3da23beb
