trial	condition	file	bytes	sha256_12
t01	K	out.txt	597	2077ea6dca74
t01	K	prompt.txt	2340	fc911ecb5e86
t01	K	report.txt	197	2116d0b709e2
t02	E	out.txt	311	6c4259a5e8bd
t02	E	prompt.txt	2614	976ce95f87c8
t02	E	report.txt	151	3985f73d447b
t03	P	out.txt	267	adcdfe4140c4
t03	P	prompt.txt	2566	fbbaac202cf1
t03	P	report.txt	226	d26ce0fa67f7
t04	WN	doc.txt	9544	c3ecbacf09aa
t04	WN	prompt.txt	4830	c9e047523d13
t04	WN	report.txt	855	6f2bdc65ad75
t05	K	out.txt	597	2077ea6dca74
t05	K	prompt.txt	2340	fc911ecb5e86
t05	K	report.txt	394	eed73cee87cb
t06	E	out.txt	311	6c4259a5e8bd
t06	E	prompt.txt	2614	976ce95f87c8
t06	E	report.txt	191	63189323953c
t07	P	out.txt	267	adcdfe4140c4
t07	P	prompt.txt	2566	fbbaac202cf1
t07	P	report.txt	224	3b146708a2ae
t08	UT	ans.txt	71	d8b36498bfcb
t08	UT	prompt.txt	1655	2b0927e865ef
t08	UT	report.txt	99	7277186696c4
t09	UK	ans.txt	71	d8b36498bfcb
t09	UK	prompt.txt	1627	9909ad2bc97c
t09	UK	report.txt	293	f97dde79f659
t10	UE	ans.txt	71	d8b36498bfcb
t10	UE	prompt.txt	1636	bdb929da140f
t10	UE	report.txt	169	4a9cede489ae
t11	UP	ans.txt	77	46ce6cb314b8
t11	UP	prompt.txt	1720	c6fc93a7e210
t11	UP	report.txt	157	ee14d269539c
t12	UT	ans.txt	71	d8b36498bfcb
t12	UT	prompt.txt	1655	2b0927e865ef
t12	UT	report.txt	109	4c28458ab52b
t13	UK	ans.txt	71	d8b36498bfcb
t13	UK	prompt.txt	1627	9909ad2bc97c
t13	UK	report.txt	312	0d09613430eb
t14	UE	ans.txt	71	d8b36498bfcb
t14	UE	prompt.txt	1636	bdb929da140f
t14	UE	report.txt	97	10b425af3972
t15	UP	ans.txt	77	46ce6cb314b8
t15	UP	prompt.txt	1720	c6fc93a7e210
t15	UP	report.txt	175	01ab0169bfb3
t16	CC	doc.txt	1129	72155af44aff
t16	CC	prompt.txt	1048	4e59582080d1
t16	CC	report.txt	238	2b848936d257
t17	CI	doc.txt	4239	a773eb24576b
t17	CI	prompt.txt	1067	8c647ff28c9c
t17	CI	report.txt	769	ca115ed8a028
t18	CR	doc.txt	3313	18b1315e4a0b
t18	CR	prompt.txt	1053	80296fd2a91b
t18	CR	report.txt	485	2dfd7fc7db1c
t19	WN	doc.txt	10179	38a693e6f572
t19	WN	prompt.txt	4830	c9e047523d13
t19	WN	report.txt	605	ca69953e33b0
t20	CC	doc.txt	1137	15b77eefe095
t20	CC	prompt.txt	1048	4e59582080d1
t20	CC	report.txt	295	ed514a3605ab
t21	CI	doc.txt	3701	8b00c513c419
t21	CI	prompt.txt	1067	8c647ff28c9c
t21	CI	report.txt	414	5d671acd306e
t22	CR	doc.txt	5288	179afb9c4780
t22	CR	prompt.txt	1053	80296fd2a91b
t22	CR	report.txt	544	8515691b7c94
t23	WN	doc.txt	9193	ccbb58c6581a
t23	WN	prompt.txt	4830	c9e047523d13
t23	WN	report.txt	987	7a4568abacc6
t24	CC	doc.txt	1442	9738e1d74ab9
t24	CC	prompt.txt	1048	4e59582080d1
t24	CC	report.txt	371	3292b75b5422
t25	CI	doc.txt	4797	35fa44e4c9ef
t25	CI	prompt.txt	1067	8c647ff28c9c
t25	CI	report.txt	553	864a7d395bac
t26	CR	doc.txt	2790	358261f5fcb9
t26	CR	prompt.txt	1053	80296fd2a91b
t26	CR	report.txt	564	2142be4ef339
t27	WF	doc.txt	3780	7cfe42b7a103
t27	WF	prompt.txt	4948	4806994fec96
t27	WF	report.txt	341	141ccf21982f
t28	WT	doc.txt	3173	74f8db79f0c5
t28	WT	prompt.txt	4948	1bb5a1fae325
t28	WT	report.txt	309	bbfd378aaf71
t29	WB	doc.txt	3327	24d1c06f1d73
t29	WB	prompt.txt	5066	d51a916dd6b9
t29	WB	report.txt	366	a53c42a2b2fa
t30	WF	doc.txt	3867	da45c1f083d7
t30	WF	prompt.txt	4948	4806994fec96
t30	WF	report.txt	527	925a00539466
t31	WT	doc.txt	3101	256503cf970b
t31	WT	prompt.txt	4948	1bb5a1fae325
t31	WT	report.txt	219	09978b836853
t32	WB	doc.txt	3181	5db5a6bc2bc1
t32	WB	prompt.txt	5066	d51a916dd6b9
t32	WB	report.txt	344	4fcf5eb01181
t33	WF	doc.txt	2898	fbcbe250952f
t33	WF	prompt.txt	4948	4806994fec96
t33	WF	report.txt	224	652d57fcb321
t34	WT	doc.txt	2979	dc4f852872b0
t34	WT	prompt.txt	4948	1bb5a1fae325
t34	WT	report.txt	366	b102c472ff4e
t35	WB	doc.txt	3123	3e8d54f1ce73
t35	WB	prompt.txt	5066	d51a916dd6b9
t35	WB	report.txt	340	fe4974212047
