trial	condition	prompt	task
t01	K	r7-K.txt	T11
t02	E	r7-E.txt	T11
t03	P	r7-P.txt	T11
t04	WN	r7-WN.txt	T14
t05	K	r7-K.txt	T11
t06	E	r7-E.txt	T11
t07	P	r7-P.txt	T11
t08	UT	runs/r7/t08/prompt.txt	T12
t09	UK	runs/r7/t09/prompt.txt	T12
t10	UE	runs/r7/t10/prompt.txt	T12
t11	UP	runs/r7/t11/prompt.txt	T12
t12	UT	runs/r7/t12/prompt.txt	T12
t13	UK	runs/r7/t13/prompt.txt	T12
t14	UE	runs/r7/t14/prompt.txt	T12
t15	UP	runs/r7/t15/prompt.txt	T12
t16	CC	r7-CC.txt	T13
t17	CI	r7-CI.txt	T13
t18	CR	r7-CR.txt	T13
t19	WN	r7-WN.txt	T14
t20	CC	r7-CC.txt	T13
t21	CI	r7-CI.txt	T13
t22	CR	r7-CR.txt	T13
t23	WN	r7-WN.txt	T14
t24	CC	r7-CC.txt	T13
t25	CI	r7-CI.txt	T13
t26	CR	r7-CR.txt	T13
t27	WF	r7-WF.txt	T14
t28	WT	r7-WT.txt	T14
t29	WB	r7-WB.txt	T14
t30	WF	r7-WF.txt	T14
t31	WT	r7-WT.txt	T14
t32	WB	r7-WB.txt	T14
t33	WF	r7-WF.txt	T14
t34	WT	r7-WT.txt	T14
t35	WB	r7-WB.txt	T14
