trial	condition	prompt	task
t01	K2	r4-K2.txt	T1
t02	B2	r4-B2.txt	T2
t03	SLT	r4-SLT.txt	T3
t04	K3	r4-K3.txt	T1
t05	X2	r4-X2.txt	T2
t06	SLF	r4-SLF.txt	T3
t07	SHT	r4-SHT.txt	T3
t08	K2	r4-K2.txt	T1
t09	B2	r4-B2.txt	T2
t10	SHF	r4-SHF.txt	T3
t11	CB	r4-CB.txt	T3
t12	K3	r4-K3.txt	T1
t13	X2	r4-X2.txt	T2
t14	SLT	r4-SLT.txt	T3
t15	K0R	r4-K0.txt	T1
t16	SLF	r4-SLF.txt	T3
t17	B2	r4-B2.txt	T2
t18	K2	r4-K2.txt	T1
t19	SHT	r4-SHT.txt	T3
t20	X2	r4-X2.txt	T2
t21	SHF	r4-SHF.txt	T3
t22	CB	r4-CB.txt	T3
t23	K3	r4-K3.txt	T1
