trial	condition	file	bytes	sha256_12
t01	K2	doc.txt	1083	8314ad5a7e96
t01	K2	report.txt	302	26a57bc168b2
t02	B2	report.txt	862	9d2849549d27
t02	B2	stats.py	965	a8ce755e07b5
t02	B2	test_stats.py	1387	215d42b7a616
t03	SLT	out.txt	625	108e02cfa057
t03	SLT	report.txt	230	a3cafd04e368
t04	K3	doc.txt	471	a73a57d0091e
t04	K3	report.txt	322	d0fa189dff7c
t05	X2	report.txt	638	f90cc6c5c186
t05	X2	stats.py	950	51c491a0d0f0
t05	X2	test_stats.py	1387	215d42b7a616
t06	SLF	out.txt	567	f74a73d32973
t06	SLF	report.txt	489	ea2c30e0de46
t07	SHT	out.txt	629	4f40131387dc
t07	SHT	report.txt	263	17bffc6b758b
t08	K2	doc.txt	939	4f19572b478b
t08	K2	report.txt	310	8b8b999e74a2
t09	B2	report.txt	634	ca1542352e27
t09	B2	stats.py	950	51c491a0d0f0
t09	B2	test_stats.py	1387	215d42b7a616
t10	SHF	out.txt	391	bd08eaccb16b
t10	SHF	report.txt	387	19ce2513abfc
t11	CB	out.txt	247	e598f73e6958
t11	CB	report.txt	352	76698e07627d
t12	K3	doc.txt	423	66424e24d4d6
t12	K3	report.txt	305	961a289ee661
t13	X2	report.txt	599	e7d1e2922c34
t13	X2	stats.py	950	51c491a0d0f0
t13	X2	test_stats.py	1387	215d42b7a616
t14	SLT	out.txt	625	108e02cfa057
t14	SLT	report.txt	224	863b4373a03a
t15	K0R	doc.txt	3915	71f719c7bde7
t15	K0R	report.txt	570	fc8a74123a5e
t16	SLF	out.txt	567	f74a73d32973
t16	SLF	report.txt	370	49b45d5746c2
t17	B2	report.txt	1047	1eda79e3ef85
t17	B2	stats.py	965	a8ce755e07b5
t17	B2	test_stats.py	1387	215d42b7a616
t18	K2	doc.txt	844	4447f3bf30cd
t18	K2	report.txt	299	c33ea2ba6e98
t19	SHT	out.txt	629	4f40131387dc
t19	SHT	report.txt	322	3b87161933d3
t20	X2	report.txt	890	e7f8614e38f3
t20	X2	stats.py	970	83b6a79bbed1
t20	X2	test_stats.py	1387	215d42b7a616
t21	SHF	out.txt	391	bd08eaccb16b
t21	SHF	report.txt	491	6ed17e6bbeaa
t22	CB	out.txt	247	e598f73e6958
t22	CB	report.txt	358	c406f5e448a6
t23	K3	doc.txt	866	1b96d0656844
t23	K3	report.txt	578	492585d6d9c4
