trial	condition	file	bytes	sha256_12
t01	H1-A	out.json	2093	0f98e642f6b7
t02	H1-B	out.tsv	744	f989f83298f2
t03	H2-A	out.yaml	510	fe23248172ab
t04	H2-B	out.diff	644	e0aea1263528
t05	H3-A	stats.py	970	0386678facc7
t05	H3-A	test_stats.py	1387	215d42b7a616
t06	H3-B	stats.py	970	0386678facc7
t06	H3-B	summary.md	1375	e084f0ac4159
t06	H3-B	test_stats.py	1387	215d42b7a616
t07	H1-B	out.tsv	744	f989f83298f2
t08	H1-A	out.json	2093	0f98e642f6b7
t09	H2-B	out.diff	644	e0aea1263528
t10	H2-A	out.yaml	510	fe23248172ab
t11	H3-B	stats.py	970	0386678facc7
t11	H3-B	summary.md	1601	cd20277627e2
t11	H3-B	test_stats.py	1387	215d42b7a616
t12	H3-A	stats.py	965	a8ce755e07b5
t12	H3-A	summary.md	2153	ea3d3207b3e5
t12	H3-A	test_stats.py	1387	215d42b7a616
t13	H1-A	out.json	2093	0f98e642f6b7
t14	H1-B	out.tsv	744	f989f83298f2
t15	H2-A	out.yaml	510	fe23248172ab
t16	H2-B	out.diff	644	e0aea1263528
t19	H1-B	out.tsv	744	f989f83298f2
t20	H1-A	out.json	2093	0f98e642f6b7
t21	H2-B	out.diff	644	e0aea1263528
t22	H2-A	out.yaml	510	fe23248172ab
